http://sports.sina.com.cn/crazysneaker/2014-09-19/14387338403.shtml
耐克发布 LEBRON 12：引爆新战能_我为鞋狂_新浪竞技风暴_新浪网
2014-09-19
//beacon.sina.com.cn/a.gif?noScript	耐克发布 LEBRON 12：引爆新战能_我为鞋狂_新浪竞技风暴_新浪网
http://i3.sinaimg.cn/ty/main/logo/logo_home_sports_nonike.gif	新浪体育
http://i0.sinaimg.cn/ty/crazysneaker/2014-09-19/U5295P6T12D7338403F44DT20140919143858.jpg	耐克篮球为10届全明星得主勒布朗•詹姆斯推出最高性能篮球鞋
http://i2.sinaimg.cn/ty/2014/0919/U5295P6DT20140919143516.jpg	 
http://i2.sinaimg.cn/ty/2014/0919/U5295P6DT20140919143543.jpg	 
http://i0.sinaimg.cn/ty/2014/0919/U5295P6DT20140919143604.jpg	 
http://i3.sinaimg.cn/ty/2014/0919/U5295P6DT20140919143621.jpg	 
http://i2.sinaimg.cn/ty/2014/0919/U5295P6DT20140919143646.jpg	 
http://i0.sinaimg.cn/dy/deco/2014/0312/sc_img/sc_img.png	已收藏!您可通过新浪首页(www.sina.com.cn)顶部 “我的收藏”， 查看所有收藏过的文章。知道了
http://61.adsina.allyes.com/main/adfshow?user=AFP6_for_SINA|Sports|SportsPIP&db=sina	耐克发布 LEBRON 12：引爆新战能_我为鞋狂_新浪竞技风暴_新浪网
