http://sports.sina.com.cn/nba/2015-05-03/11097595555.shtml
伤痛逼出神迹！第一控卫？这一秒请叫他圣保罗_篮球-NBA_新浪竞技风暴_新浪网
2015-05-03
//beacon.sina.com.cn/a.gif?noScript	伤痛逼出神迹！第一控卫？这一秒请叫他圣保罗_篮球-NBA_新浪竞技风暴_新浪网
http://i3.sinaimg.cn/ty/main/logo/logo_home_sports_nonike.gif	新浪体育
http://p.v.iask.com/861/854/137941129_1.jpg	保罗1秒绝杀马刺
http://p.v.iask.com/0/262/137957116_1.jpg	保罗疑似拉伤左腿
http://p.v.iask.com/7/84/137941071_1.jpg	保罗穿心3分
http://p.v.iask.com/513/859/137941073_1.jpg	保罗再次蹒跚真拼了
http://p.v.iask.com/775/263/137941039_1.jpg	CP3连线格里芬
http://i0.sinaimg.cn/ty/nba/2015-05-03/U1614P6T12D7595555F44DT20150503110943.jpg	圣保罗！
http://i0.sinaimg.cn/dy/deco/2014/0312/sc_img/sc_img.png	已收藏!您可通过新浪首页(www.sina.com.cn)顶部 “我的收藏”， 查看所有收藏过的文章。知道了
