http://sports.sina.com.cn/g/pl/2015-05-04/01277596349.shtml
切尔西有个人一转身却让你心中流泪(图)_国际足球-英格兰_新浪竞技风暴_新浪网
2015-05-04
//beacon.sina.com.cn/a.gif?noScript	切尔西有个人一转身却让你心中流泪(图)_国际足球-英格兰_新浪竞技风暴_新浪网
http://i3.sinaimg.cn/ty/main/logo/logo_home_sports_nonike.gif	新浪体育
http://p.v.iask.com/336/518/137927271_1.jpg	切赫蓝军生涯扑救集
http://i3.sinaimg.cn/ty/g/pl/2015-05-04/U370P6T12D7596349F44DT20150504012704.jpg	替补席……
http://i1.sinaimg.cn/ty/2015/0504/U370P6DT20150504012207.jpg	切赫的表情很平静
http://i1.sinaimg.cn/ty/2015/0504/U370P6DT20150504012234.jpg	巅峰
http://i3.sinaimg.cn/ty/2015/0504/U370P6DT20150504012300.jpg	心痛的一幕
http://i2.sinaimg.cn/ty/2015/0504/U370P6DT20150504012325.jpg	初来乍到
http://i1.sinaimg.cn/ty/2015/0504/U370P6DT20150504012603.jpg	不舍
http://i0.sinaimg.cn/dy/deco/2014/0312/sc_img/sc_img.png	已收藏!您可通过新浪首页(www.sina.com.cn)顶部 “我的收藏”， 查看所有收藏过的文章。知道了
